DATAFLOW,REF_AREA,FREQ,MEASURE,STATISTICAL_OPERATION,UNIT_MEASURE,AGE,METHODOLOGY,DEFINITION,POVERTY_LINE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,CURRENCY,DECIMALS,PRICE_BASE,BASE_PER,CONF_STATUS
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),KOR,A,PR_INC_DISP,_Z,PT_POP,Y_GT65,METH2012,D_CUR,PL_50,2020,40.5000001192093,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),USA,A,PR_INC_DISP,_Z,PT_POP,Y_GT65,METH2012,D_CUR,PL_50,2023,22.874,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),JPN,A,PR_INC_DISP,_Z,PT_POP,Y_GT65,METH2012,D_CUR,PL_50,2021,20,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),KOR,A,PR_INC_DISP,_Z,PT_POP,Y_GT65,METH2012,D_CUR,PL_50,2022,39.7000014781952,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),USA,A,PR_INC_DISP,_Z,PT_POP,Y_GT65,METH2012,D_CUR,PL_50,2020,21.56,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),CAN,A,PR_INC_DISP,_Z,PT_POP,Y_GT65,METH2012,D_CUR,PL_50,2021,14.7669012,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),CAN,A,PR_INC_DISP,_Z,PT_POP,Y_GT65,METH2012,D_CUR,PL_50,2023,10.1000003516674,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),DEU,A,PR_INC_DISP,_Z,PT_POP,Y_GT65,METH2012,D_CUR,PL_50,2022,13.1400004029274,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),DEU,A,PR_INC_DISP,_Z,PT_POP,Y_GT65,METH2012,D_CUR,PL_50,2023,14.4999995827675,A,,,1,,,
OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),FRA,A,PR_INC_DISP,_Z,PT_POP,Y_GT65,METH2012,D_CUR,PL_50,2022,6.1,A,,,1,,,
